,Date,Round No.,Time Window,Cell,F Value,P Value
0,2023-10-03,1,"(150.0, 650.0)",Channel.C_009,2.0131038689144156,0.056583815337820156
1,2023-10-05,1,"(0.0, 2000.0)",Channel.C_004,2.794828933024401,0.009867667579970228
2,2023-10-05,1,"(0.0, 2000.0)",Channel.C_024,0.9327673861197482,0.49568718741940443
3,2023-10-05,1,"(0.0, 2000.0)",Channel.C_029,1.501843996038394,0.17327559662262965
4,2023-10-09,3,"(0.0, 2000.0)",Channel.C_013,1.9817624273724996,0.05910183861981635
5,2023-10-10,2,"(0.0, 600.0)",Channel.C_009,1.809716599190284,0.08708453558814959
6,2023-10-10,2,"(200.0, 700.0)",Channel.C_010,1.2126436781609191,0.3022267015581179
7,2023-10-10,2,"(200.0, 700.0)",Channel.C_021,1.8063716814159287,0.08773513195022732
8,2023-10-10,3,"(250.0, 750.0)",Channel.C_009,0.9929529438508751,0.447907456618714
9,2023-10-10,3,"(0.0, 2000.0)",Channel.C_018,1.1257902342103676,0.3550844892669888
10,2023-10-10,3,"(250.0, 750.0)",Channel.C_028,1.2516453219494845,0.28053292775075794
11,2023-10-11,1,"(100.0, 500.0)",Channel.C_002,5.498841519925861,1.496824548224128e-05
12,2023-10-11,1,"(250.0, 750.0)",Channel.C_010,1.336196319018405,0.23773825330800968
13,2023-10-11,3,"(0.0, 2000.0)",Channel.C_002,2.8088537986002735,0.009555414268795552
14,2023-10-11,3,"(250.0, 750.0)",Channel.C_007,1.4427058459321835,0.19534763769181165
15,2023-10-11,3,"(0.0, 2000.0)",Channel.C_013,3.6065688057006438,0.0015403772559573485
16,2023-10-11,3,"(0.0, 2000.0)",Channel.C_021,1.5649840385965634,0.1521635929812093
17,2023-10-24,2,"(250.0, 750.0)",Channel.C_002,2.6890653160151636,0.01126620279013011
18,2023-10-27,4,"(0.0, 2000.0)",Channel.C_000,1.9223324759170461,0.0698031564997375
19,2023-10-27,4,"(0.0, 2000.0)",Channel.C_008,1.5037399309551205,0.171387936912044
20,2023-10-27,4,"(0.0, 750.0)",Channel.C_011,2.9719780768606108,0.006289624603341632
21,2023-10-27,4,"(250.0, 750.0)",Channel.C_016,0.9652625112279384,0.4700226948202135
22,2023-10-27,4,"(0.0, 750.0)",Channel.C_020,2.956868875849919,0.006514719781525433
23,2023-10-31,1,"(0.0, 2000.0)",Channel.C_004,0.7896994134897362,0.6131093783476591
24,2023-10-31,1,"(250.0, 600.0)",Channel.C_005,3.073989412897016,0.004480491399967899
25,2023-10-31,1,"(100.0, 600.0)",Channel.C_011,1.4930232558139531,0.17266954860558206
26,2023-10-31,1,"(100.0, 600.0)",Channel.C_020,2.6830235101148165,0.011429781534635527
27,2023-10-31,1,"(0.0, 750.0)",Channel.C_022,1.6246418338108883,0.1306236637894454
28,2023-10-31,2,"(0.0, 500.0)",Channel.C_001,1.6245874587458744,0.13063895100876707
29,2023-10-31,2,"(1250.0, 2000.0)",Channel.C_001,0.9294912487530608,0.4969632602715326
30,2023-10-31,2,"(100.0, 600.0)",Channel.C_009,0.9706438200831549,0.46483352640694275
31,2023-10-31,2,"(0.0, 500.0)",Channel.C_016,0.9496213145793885,0.4811047595348805
32,2023-10-31,2,"(0.0, 2000.0)",Channel.C_022,1.3346195776910714,0.23848457797237113
33,2023-10-31,2,"(250.0, 750.0)",Channel.C_024,0.4621451104100949,0.8791696852266245
34,2023-11-08,1,"(100.0, 700.0)",Channel.C_007,4.158251231527093,0.0003351483076948867
35,2023-11-08,2,"(0.0, 250.0)",Channel.C_001,0.7252865329512894,0.6687075610654656
36,2023-11-08,2,"(250.0, 750.0)",Channel.C_001,1.7420757634325479,0.10115117656948623
37,2023-11-08,2,"(0.0, 250.0)",Channel.C_016,0.24007778220981255,0.9819868608676
38,2023-11-08,2,"(250.0, 750.0)",Channel.C_016,1.7390793218661056,0.10182038299926495
39,2023-11-08,2,"(200.0, 700.0)",Channel.C_021,1.5087476524661458,0.16708616846775579
40,2023-11-08,3,"(0.0, 250.0)",Channel.C_001,0.976190476190476,0.4605918306681246
41,2023-11-08,3,"(250.0, 750.0)",Channel.C_001,0.8800467207334273,0.5369698493801145
42,2023-11-08,3,"(1250.0, 1750.0)",Channel.C_001,0.6836930038287504,0.7046118414627767
43,2023-11-08,3,"(250.0, 750.0)",Channel.C_007,0.8305489260143196,0.57829230649896
44,2023-11-08,3,"(0.0, 250.0)",Channel.C_015,0.5919879100188288,0.7817904428631676
45,2023-11-08,3,"(250.0, 750.0)",Channel.C_015,0.5490965756667192,0.8160028143132216
46,2023-11-08,3,"(0.0, 250.0)",Channel.C_016,0.5199359720605354,0.8382341635244391
47,2023-11-08,3,"(250.0, 750.0)",Channel.C_016,0.6191722639273016,0.7593653269955524
48,2023-11-08,3,"(1000.0, 2000.0)",Channel.C_016,0.7026684253246751,0.6882603086908695
49,2023-11-08,4,"(250.0, 750.0)",Channel.C_023,0.9090203274985884,0.5133534255143035
50,2023-11-11,1,"(250.0, 750.0)",Channel.C_000,1.4977146814404425,0.17098690031545494
51,2023-11-11,2,"(100.0, 500.0)",Channel.C_015,0.3043272641286356,0.9623580554102015
52,2023-11-11,2,"(100.0, 400.0)",Channel.C_024,1.3005565165074828,0.2550822497581939
53,2023-11-12,2,"(250.0, 750.0)",Channel.C_022,0.48422420612498596,0.8640714255152904
54,2023-11-20,2,"(250.0, 750.0)",Channel.C_007,0.9092247127252094,0.5131885282661744
55,2023-11-22,2,"(200.0, 1000.0)",Channel.C_003,1.015435021045626,0.431220837478192
56,2023-11-22,3,"(250.0, 750.0)",Channel.C_003,0.6517577654707442,0.7319231760372262
57,2023-11-25,2,"(100.0, 600.0)",Channel.C_000,0.6920612317550732,0.6974090464061286
58,2023-11-25,2,"(200.0, 600.0)",Channel.C_013,1.1717902350813743,0.32630449052900234
59,2023-11-25,2,"(200.0, 600.0)",Channel.C_017,1.2745141836050926,0.2683927193372152
60,2023-11-25,3,"(300.0, 700.0)",Channel.C_013,2.0408525512629665,0.05898567620049313
61,2023-11-28,1,"(0.0, 500.0)",Channel.C_008,0.7776536763914307,0.6234632844273715
62,2023-11-28,1,"(100.0, 500.0)",Channel.C_023,1.1798946810122746,0.32141719957497755
63,2023-11-28,1,"(100.0, 600.0)",Channel.C_030,0.4646556069840979,0.8774893115806194
64,2023-11-28,2,"(0.0, 2000.0)",Channel.C_004,1.659406215316315,0.12117429847294761
65,2023-11-28,2,"(0.0, 2000.0)",Channel.C_006,1.3374199083004559,0.2371604136747003
66,2023-11-28,2,"(0.0, 2000.0)",Channel.C_007,0.6680932703659976,0.7179931339431257
67,2023-11-28,2,"(0.0, 2000.0)",Channel.C_010,1.0468958611481975,0.4085197926479876
68,2023-11-28,2,"(0.0, 2000.0)",Channel.C_021,1.623277660206148,0.13100768071268462
69,2023-11-28,2,"(0.0, 600.0)",Channel.C_027,0.5511728258464262,0.8143854779544686
70,2023-11-28,2,"(1000.0, 2000.0)",Channel.C_027,1.576322201519278,0.14486033696703726
